No,시도,구군,평균,사회안전에 대한 인식 b),인구 천명당 cctv 대수 b),인구 십만명당 응급의료기관 및 응급실 운영기관수,단위면적당 지역경찰관서 수,지역안전등급 현황 중 '교통사고 및 화재' a)
216,경상남도,양산시,0.2798,0.1681,0.3066,0.3428,0.335,0.7117
217,경상남도,창원시,0.4125,0.4242,0.2297,0.3665,0.3713,0.8638
218,경상남도,의령군,0.5732,0.4622,0.7243,0.9208,0.3207,0.3014
219,경상남도,함안군,0.5355,0.783,0.3589,0.4399,0.3247,0.7117
220,경상남도,창녕군,0.698,0.6816,0.9377,0.8582,0.3183,0.3014
221,경상남도,고성군,0.7044,0.6662,0.4841,0.9351,0.319,0.7117
222,경상남도,남해군,0.7821,0.8405,0.6521,0.6641,0.3247,0.8638
223,경상남도,하동군,0.4709,0.5262,0.664,0.6175,0.3186,0.3014
224,경상남도,산청군,0.4006,0.6142,0.211,0.7874,0.3066,0.3014
225,경상남도,함양군,0.7012,0.7924,0.5686,0.7219,0.3123,0.7117
226,경상남도,거창군,0.4392,0.9213,0.3292,0.4718,0.3107,0.3014
227,경상남도,합천군,0.4268,0.4158,0.6344,0.6381,0.308,0.3014
228,제주특별자치도,제주시,0.4461,0.308,0.7366,0.2785,0.3199,0.7117
229,제주특별자치도,서귀포시,0.4461,0.308,0.7366,0.2785,0.3199,0.7117
