No,시도,구군,평균,주관적 건강수준 인지율,인구 십만명당 정신건강증진기관 수,인구 천명당 의료기관 종사 의사수,건강생활실천율,인구 천명당 의료기관병상수
95,경기도,파주시,0.3232,0.7045,0.2336,0.2999,0.5366,0.2996
96,경기도,이천시,0.316,0.8832,0.2443,0.3515,0.289,0.2797
97,경기도,안성시,0.1904,0.3807,0.4226,0.3222,0.0773,0.3855
98,경기도,김포시,0.2079,0.323,0.1175,0.3547,0.6297,0.2273
99,경기도,화성시,0.3758,0.8922,0.3039,0.3345,0.5286,0.2076
100,경기도,광주시,0.3259,0.9085,0.123,0.2601,0.6221,0.1704
101,경기도,양주시,0.2252,0.6771,0.1519,0.2839,0.1827,0.4198
102,경기도,포천시,0.316,0.751,0.3398,0.3299,0.2527,0.3746
103,경기도,여주시,0.3271,0.2345,0.4672,0.361,0.4257,0.5999
104,경기도,연천군,0.3187,0.7932,0.5929,0.3238,0.1325,0.2152
105,경기도,가평군,0.6021,0.9559,0.9788,0.3515,0.3909,0.4174
106,경기도,양평군,0.2278,0.4229,0.4473,0.3207,0.2103,0.3237
107,강원도,춘천시,0.5158,0.9059,0.3656,0.5948,0.4062,0.5062
108,강원도,원주시,0.3926,0.6193,0.298,0.5717,0.3643,0.4745
109,강원도,강릉시,0.336,0.363,0.4912,0.5915,0.234,0.441
110,강원도,동해시,0.345,0.3286,0.5793,0.3547,0.3204,0.5709
111,강원도,태백시,0.269,0.2158,0.5898,0.3058,0.3681,0.3964
112,강원도,속초시,0.4349,0.9697,0.3134,0.416,0.5088,0.275
113,강원도,삼척시,0.4336,0.943,0.3758,0.3207,0.6372,0.2012
114,강원도,홍천군,0.3439,0.2442,0.75,0.3673,0.4024,0.3859
115,강원도,횡성군,0.2338,0.6014,0.5651,0.2853,0.1049,0.1902
116,강원도,영월군,0.2006,0.2024,0.6669,0.3192,0.1347,0.3021
117,강원도,평창군,0.204,0.4168,0.622,0.3238,0.1262,0.1491
118,강원도,정선군,0.2109,0.4229,0.7011,0.2839,0.0482,0.2073
119,강원도,철원군,0.4098,0.6991,0.5691,0.2911,0.5953,0.2363
120,강원도,화천군,0.3897,0.8863,0.9299,0.3117,0.0944,0.0952
121,강원도,양구군,0.4396,0.7098,0.9533,0.3391,0.2464,0.2514
122,강원도,인제군,0.2707,0.5833,0.8034,0.2853,0.0703,0.1399
123,강원도,고성군,0.2236,0.2068,0.8784,0.2245,0.3312,0.0687
124,강원도,양양군,0.2776,0.6658,0.8926,0.2546,0.0267,0.0675
125,충청북도,충주시,0.3098,0.4535,0.3655,0.4459,0.3169,0.4434
126,충청북도,제천시,0.3005,0.198,0.203,0.3915,0.5876,0.6108
127,충청북도,청주시,0.4418,0.8309,0.3675,0.4811,0.4453,0.3831
